Type,Machine_id,All Delays Levels,Comment,Hours
FLe,FL0108,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,Need to make shore it is on level 9 (battery bay)---strata,25.37
FLe,FL0098,/Equipment/Breakdown Electrical/Auto Electrical System - 800v/800v Battery,Battery not connecting (battery bay),20.98
FLe,FL0113,/Equipment/Breakdown Boilermaker,Install Blocks and strips on bucket@ Boilers,18.42
FLe,FL0107,/Equipment/Breakdown Electrical,RED STOP LAMP ERROR @ 54S CENTRA;,4.98
FLe,FL0113,/Equipment/Breakdown Mechanical,Transmission Rubbers@BATT BAY,3.98
FLe,FL0112,/Equipment/Breakdown Electrical/Auto Electrical System - 24v/Strata Breakdown,'@ BATTERY BAY,3.70
FLe,FL0113,/Equipment/Breakdown Electrical,MACHINE STOPS ANG GO. GO INTO NEUTRAL@49S DEVELOPMENT.,2.77
FLe,FL0112,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,"COLISSION AVOIDANCE WARNING, NOT MOVING@STOPING 9S",2.33
FLe,FL0108,/Equipment/Breakdown Mechanical,"foot pedal loose @ sim2s,68w",1.85
FLe,FL0112,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,strata system faulty @ mw 104s,1.60
FLe,FL0108,/Equipment/Breakdown Mechanical,COLLISION AVOIDANCE WARNING@CROSS CUT BATTERY BAY (NEW LOCATION: BATTERY BAY),1.13
FLe,FL0112,/Equipment/Breakdown Electrical/Auto Electrical System - 24v/Strata Breakdown,BATTERY BAY,1.00
FLe,FL0112,/Equipment/Breakdown Electrical/Auto Electrical System - 24v/Strata Breakdown,3S 65W S2S,0.62
FLe,FL0107,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v,Batt Not Connecting@Batt Bay,0.42
